Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0002521	leukocyte differentiation	 	4.426E-7	9.710E-4	2.023E-5	1.673E-4	12	841	CD27,ANXA1,ANXA2,TNFSF13B,B2M,FOXP1,CCR6,CCR7,LEF1,LGALS1,LGALS3,IL7R
GO: Biological Process	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	 	4.948E-7	1.086E-3	2.216E-5	1.833E-4	9	415	CD27,ANXA1,TNFSF13B,B2M,CCR6,CCR7,LEF1,CTSH,IL7R
GO: Biological Process	GO:0046651	lymphocyte proliferation	 	5.361E-7	1.176E-3	2.352E-5	1.946E-4	9	419	CD27,ANXA1,TNFSF13B,CCR7,LEF1,IL6ST,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0032943	mononuclear cell proliferation	 	6.156E-7	1.351E-3	2.648E-5	2.190E-4	9	426	CD27,ANXA1,TNFSF13B,CCR7,LEF1,IL6ST,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0030098	lymphocyte differentiation	 	7.286E-7	1.598E-3	3.074E-5	2.542E-4	10	569	CD27,ANXA1,TNFSF13B,B2M,FOXP1,CCR6,CCR7,LEF1,LGALS1,IL7R
GO: Biological Process	GO:1902105	regulation of leukocyte differentiation	 	8.684E-7	1.905E-3	3.595E-5	2.973E-4	9	444	CD27,ANXA1,FOXP1,CCR6,CCR7,LEF1,LGALS1,LGALS3,IL7R
GO: Biological Process	GO:0042255	ribosome assembly	 	9.294E-7	2.039E-3	3.776E-5	3.123E-4	5	75	RPLP0,RPS19,RPSA,RPS27,RPL10
GO: Biological Process	GO:0010628	positive regulation of gene expression	 	1.270E-6	2.786E-3	5.066E-5	4.190E-4	15	1512	VIM,S100A10,RPLP1,CD27,ANXA1,ANXA2,B2M,FOXP1,LTB,CCR7,LEF1,CTSH,IL6ST,IL7R,TNFRSF4
GO: Biological Process	GO:0070661	leukocyte proliferation	 	1.319E-6	2.894E-3	5.109E-5	4.226E-4	9	467	CD27,ANXA1,TNFSF13B,CCR7,LEF1,IL6ST,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0022407	regulation of cell-cell adhesion	 	1.327E-6	2.912E-3	5.109E-5	4.226E-4	10	608	CD27,ANXA1,TNFSF13B,B2M,CCR7,LEF1,LGALS1,IL6ST,LGALS3,IL7R
GO: Biological Process	GO:0042113	B cell activation	 	1.451E-6	3.185E-3	5.491E-5	4.541E-4	8	347	CD27,TNFSF13B,FOXP1,CCR6,LEF1,LGALS1,IL7R,TNFRSF4
GO: Biological Process	GO:0042093	T-helper cell differentiation	 	1.839E-6	4.035E-3	6.839E-5	5.657E-4	5	86	ANXA1,FOXP1,CCR6,CCR7,LEF1
GO: Biological Process	GO:2000107	negative regulation of leukocyte apoptotic process	 	1.948E-6	4.274E-3	7.022E-5	5.808E-4	5	87	CD27,FOXP1,CCR7,IL7R,TNFRSF4
GO: Biological Process	GO:1902107	positive regulation of leukocyte differentiation	 	1.952E-6	4.283E-3	7.022E-5	5.808E-4	7	250	CD27,ANXA1,CCR7,LEF1,LGALS1,LGALS3,IL7R
GO: Biological Process	GO:1903708	positive regulation of hemopoiesis	 	2.058E-6	4.516E-3	7.284E-5	6.024E-4	7	252	CD27,ANXA1,CCR7,LEF1,LGALS1,LGALS3,IL7R
GO: Biological Process	GO:0002286	T cell activation involved in immune response	 	2.092E-6	4.589E-3	7.285E-5	6.025E-4	6	160	ANXA1,FOXP1,CCR6,CCR7,LEF1,LGALS3
GO: Biological Process	GO:0050777	negative regulation of immune response	 	2.226E-6	4.885E-3	7.632E-5	6.313E-4	7	255	ANXA1,B2M,RPS19,LYAR,KLRB1,LGALS3,IL7R
GO: Biological Process	GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response	 	2.304E-6	5.056E-3	7.779E-5	6.434E-4	5	90	ANXA1,FOXP1,CCR6,CCR7,LEF1
GO: Biological Process	GO:0002293	alpha-beta T cell differentiation involved in immune response	 	2.434E-6	5.341E-3	8.092E-5	6.693E-4	5	91	ANXA1,FOXP1,CCR6,CCR7,LEF1
GO: Biological Process	GO:0002699	positive regulation of immune effector process	 	2.636E-6	5.784E-3	8.633E-5	7.140E-4	8	376	CD27,ANXA1,B2M,FOXP1,RPS19,CCR7,KLRB1,TNFRSF4
GO: Biological Process	GO:0002366	leukocyte activation involved in immune response	 	2.689E-6	5.899E-3	8.675E-5	7.175E-4	8	377	ANXA1,MYO1F,FOXP1,CCR6,CCR7,LEF1,LGALS1,LGALS3
GO: Biological Process	GO:0002819	regulation of adaptive immune response	 	2.732E-6	5.993E-3	8.685E-5	7.184E-4	7	263	ANXA1,TNFSF13B,B2M,CCR6,CCR7,IL6ST,IL7R
GO: Biological Process	GO:0002285	lymphocyte activation involved in immune response	 	2.801E-6	6.145E-3	8.709E-5	7.203E-4	7	264	ANXA1,FOXP1,CCR6,CCR7,LEF1,LGALS1,LGALS3
GO: Biological Process	GO:0071345	cellular response to cytokine stimulus	 	2.844E-6	6.239E-3	8.709E-5	7.203E-4	12	1004	VIM,RPLP0,TNFSF13B,TMSB4X,FOXP1,TNFRSF18,CCR6,CCR7,LEF1,IL6ST,IL7R,TNFRSF4
GO: Biological Process	GO:0002287	alpha-beta T cell activation involved in immune response	 	2.858E-6	6.270E-3	8.709E-5	7.203E-4	5	94	ANXA1,FOXP1,CCR6,CCR7,LEF1
GO: Biological Process	GO:0002263	cell activation involved in immune response	 	2.907E-6	6.378E-3	8.737E-5	7.227E-4	8	381	ANXA1,MYO1F,FOXP1,CCR6,CCR7,LEF1,LGALS1,LGALS3
GO: Biological Process	GO:0060326	cell chemotaxis	 	3.201E-6	7.023E-3	9.491E-5	7.850E-4	8	386	SELL,ANXA1,TMSB4X,RPS19,CCR6,CCR7,LEF1,LGALS3
GO: Biological Process	GO:0002181	cytoplasmic translation	 	3.289E-6	7.217E-3	9.568E-5	7.914E-4	6	173	RPLP0,RPLP1,RPS19,RPSA,RPS27,RPL10
GO: Biological Process	GO:0031347	regulation of defense response	 	3.314E-6	7.272E-3	9.568E-5	7.914E-4	12	1019	ANXA1,B2M,MYO1F,TMSB4X,FOXP1,RPS19,TMSB10,CCR7,LYAR,KLRB1,LGALS1,IL6ST
GO: Biological Process	GO:0002377	immunoglobulin production	 	3.846E-6	8.438E-3	1.096E-4	9.063E-4	7	277	CD27,TNFSF13B,B2M,FOXP1,CCR6,IL7R,TNFRSF4
GO: Biological Process	GO:0002292	T cell differentiation involved in immune response	 	4.073E-6	8.936E-3	1.146E-4	9.476E-4	5	101	ANXA1,FOXP1,CCR6,CCR7,LEF1
GO: Biological Process	GO:0030099	myeloid cell differentiation	 	4.218E-6	9.254E-3	1.171E-4	9.688E-4	10	692	RPLP1,ANXA2,B2M,FOXP1,RPS19,CCR7,ACTN1,RPS27,LYAR,LEF1
GO: Biological Process	GO:0002685	regulation of leukocyte migration	 	4.326E-6	9.491E-3	1.186E-4	9.813E-4	7	282	SELL,ANXA1,MYO1F,TNFRSF18,CCR6,CCR7,LGALS3
GO: Biological Process	GO:0030217	T cell differentiation	 	4.644E-6	1.019E-2	1.258E-4	1.040E-3	8	406	CD27,ANXA1,B2M,FOXP1,CCR6,CCR7,LEF1,IL7R
GO: Biological Process	GO:0006954	inflammatory response	 	5.020E-6	1.101E-2	1.343E-4	1.111E-3	12	1061	TIMP1,ANXA1,TMSB4X,FOXP1,RPS19,TMSB10,CCR6,CCR7,PTGER2,LGALS1,IL6ST,TNFRSF4
GO: Biological Process	GO:0002687	positive regulation of leukocyte migration	 	5.151E-6	1.130E-2	1.362E-4	1.126E-3	6	187	SELL,MYO1F,TNFRSF18,CCR6,CCR7,LGALS3
GO: Biological Process	GO:0070228	regulation of lymphocyte apoptotic process	 	5.923E-6	1.299E-2	1.547E-4	1.279E-3	5	109	CD27,FOXP1,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0043367	CD4-positive, alpha-beta T cell differentiation	 	8.031E-6	1.762E-2	2.073E-4	1.714E-3	5	116	ANXA1,FOXP1,CCR6,CCR7,LEF1
GO: Biological Process	GO:0042100	B cell proliferation	 	1.297E-5	2.845E-2	3.308E-4	2.736E-3	5	128	CD27,TNFSF13B,LEF1,IL7R,TNFRSF4
GO: Biological Process	GO:0048871	multicellular organismal-level homeostasis	 	1.342E-5	2.945E-2	3.385E-4	2.799E-3	12	1169	RPLP1,ANXA1,TNFSF13B,B2M,RPS19,CCR7,RPS27,LYAR,LEF1,CTSH,IL7R,TNFRSF4
GO: Biological Process	GO:0070229	negative regulation of lymphocyte apoptotic process	 	1.411E-5	3.095E-2	3.517E-4	2.909E-3	4	62	CD27,FOXP1,IL7R,TNFRSF4
GO: Biological Process	GO:0080134	regulation of response to stress	 	1.599E-5	3.508E-2	3.942E-4	3.260E-3	15	1858	CD27,ANXA1,ANXA2,B2M,MYO1F,TMSB4X,FOXP1,RPS19,TMSB10,CCR7,LYAR,PTGER2,KLRB1,LGALS1,IL6ST
GO: Biological Process	GO:0010720	positive regulation of cell development	 	1.712E-5	3.757E-2	4.141E-4	3.425E-3	9	641	VIM,CD27,ANXA1,CCR7,LEF1,LGALS1,IL6ST,LGALS3,IL7R
GO: Biological Process	GO:0050900	leukocyte migration	 	1.717E-5	3.768E-2	4.141E-4	3.425E-3	8	486	SELL,ANXA1,MYO1F,RPS19,TNFRSF18,CCR6,CCR7,LGALS3
GO: Biological Process	GO:0070227	lymphocyte apoptotic process	 	1.933E-5	4.240E-2	4.609E-4	3.812E-3	5	139	CD27,FOXP1,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0045580	regulation of T cell differentiation	 	2.034E-5	4.462E-2	4.798E-4	3.968E-3	6	238	CD27,ANXA1,CCR6,CCR7,LEF1,IL7R
GO: Biological Process	GO:0050778	positive regulation of immune response	 	2.083E-5	4.571E-2	4.863E-4	4.022E-3	10	831	ANXA1,TNFSF13B,B2M,FOXP1,RPS19,CCR7,FYB1,KLRB1,IL6ST,LGALS3
GO: Biological Process	GO:0070232	regulation of T cell apoptotic process	 	2.286E-5	5.017E-2	5.281E-4	4.368E-3	4	70	CD27,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	 	2.450E-5	5.375E-2	5.599E-4	4.631E-3	6	246	ANXA1,TNFSF13B,B2M,CCR6,CCR7,IL7R
GO: Biological Process	GO:0002250	adaptive immune response	 	2.479E-5	5.438E-2	5.606E-4	4.637E-3	10	848	CD27,ANXA1,TNFSF13B,B2M,CCR6,CCR7,LEF1,CTSH,IL6ST,IL7R
GO: Biological Process	GO:0006935	chemotaxis	 	2.555E-5	5.605E-2	5.719E-4	4.730E-3	10	851	SELL,S100A4,ANXA1,TMSB4X,FOXP1,RPS19,CCR6,CCR7,LEF1,LGALS3
GO: Biological Process	GO:0042330	taxis	 	2.606E-5	5.718E-2	5.776E-4	4.777E-3	10	853	SELL,S100A4,ANXA1,TMSB4X,FOXP1,RPS19,CCR6,CCR7,LEF1,LGALS3
GO: Biological Process	GO:0045582	positive regulation of T cell differentiation	 	2.789E-5	6.118E-2	6.118E-4	5.060E-3	5	150	CD27,ANXA1,CCR7,LEF1,IL7R
GO: Biological Process	GO:0046632	alpha-beta T cell differentiation	 	3.164E-5	6.942E-2	6.873E-4	5.684E-3	5	154	ANXA1,FOXP1,CCR6,CCR7,LEF1
GO: Biological Process	GO:0000028	ribosomal small subunit assembly	 	3.529E-5	7.742E-2	7.590E-4	6.278E-3	3	27	RPS19,RPSA,RPS27
GO: Biological Process	GO:0050727	regulation of inflammatory response	 	3.890E-5	8.535E-2	8.286E-4	6.854E-3	8	545	ANXA1,TMSB4X,FOXP1,RPS19,TMSB10,CCR7,LGALS1,IL6ST
GO: Biological Process	GO:0045063	T-helper 1 cell differentiation	 	3.946E-5	8.656E-2	8.324E-4	6.884E-3	3	28	ANXA1,CCR7,LEF1
GO: Biological Process	GO:0035710	CD4-positive, alpha-beta T cell activation	 	4.031E-5	8.845E-2	8.423E-4	6.967E-3	5	162	ANXA1,FOXP1,CCR6,CCR7,LEF1
GO: Biological Process	GO:0001816	cytokine production	 	4.552E-5	9.987E-2	9.421E-4	7.792E-3	11	1110	CD27,ANXA1,B2M,TMSB4X,FOXP1,LTB,CCR7,PTGER2,LEF1,IL6ST,TNFRSF4
GO: Biological Process	GO:0019221	cytokine-mediated signaling pathway	 	4.772E-5	1.047E-1	9.785E-4	8.093E-3	8	561	TNFSF13B,TMSB4X,TNFRSF18,CCR6,CCR7,IL6ST,IL7R,TNFRSF4
GO: Biological Process	GO:0032103	positive regulation of response to external stimulus	 	4.898E-5	1.075E-1	9.875E-4	8.167E-3	9	733	SELL,B2M,TMSB4X,RPS19,CCR6,CCR7,KLRB1,LGALS1,IL6ST
GO: Biological Process	GO:0045621	positive regulation of lymphocyte differentiation	 	4.932E-5	1.082E-1	9.875E-4	8.167E-3	5	169	CD27,ANXA1,CCR7,LEF1,IL7R
GO: Biological Process	GO:0045619	regulation of lymphocyte differentiation	 	4.951E-5	1.086E-1	9.875E-4	8.167E-3	6	279	CD27,ANXA1,CCR6,CCR7,LEF1,IL7R
GO: Biological Process	GO:0002698	negative regulation of immune effector process	 	5.363E-5	1.177E-1	1.055E-3	8.727E-3	5	172	ANXA1,RPS19,KLRB1,LGALS3,IL7R
GO: Biological Process	GO:0048535	lymph node development	 	5.387E-5	1.182E-1	1.055E-3	8.727E-3	3	31	LTB,CCR7,IL7R
GO: Biological Process	GO:1905686	positive regulation of plasma membrane repair	 	5.491E-5	1.205E-1	1.057E-3	8.741E-3	2	5	S100A10,ANXA2
GO: Biological Process	GO:2000520	regulation of immunological synapse formation	 	5.491E-5	1.205E-1	1.057E-3	8.741E-3	2	5	CCR7,LGALS3
GO: Biological Process	GO:0002520	immune system development	 	5.792E-5	1.271E-1	1.105E-3	9.139E-3	6	287	FOXP1,LTB,CCR6,CCR7,LEF1,IL7R
GO: Biological Process	GO:0070233	negative regulation of T cell apoptotic process	 	5.934E-5	1.302E-1	1.122E-3	9.283E-3	3	32	CD27,IL7R,TNFRSF4
GO: Biological Process	GO:0070231	T cell apoptotic process	 	6.426E-5	1.410E-1	1.205E-3	9.966E-3	4	91	CD27,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0002440	production of molecular mediator of immune response	 	6.920E-5	1.518E-1	1.287E-3	1.064E-2	7	434	CD27,TNFSF13B,B2M,FOXP1,CCR6,IL7R,TNFRSF4
