Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0019882	antigen processing and presentation	 	5.648E-8	1.101E-4	4.589E-6	3.742E-5	7	145	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,CD74
GO: Biological Process	GO:0001916	positive regulation of T cell mediated cytotoxicity	 	8.621E-8	1.681E-4	6.725E-6	5.483E-5	5	46	HLA-A,HLA-B,HLA-C,HLA-DRB1,B2M
GO: Biological Process	GO:0002428	antigen processing and presentation of peptide antigen via MHC class Ib	 	9.076E-8	1.770E-4	6.807E-6	5.550E-5	4	18	HLA-A,HLA-B,HLA-C,B2M
GO: Biological Process	GO:1903039	positive regulation of leukocyte cell-cell adhesion	 	1.001E-7	1.952E-4	7.231E-6	5.895E-5	9	336	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,ACTB,CD74,LGALS1
GO: Biological Process	GO:1903037	regulation of leukocyte cell-cell adhesion	 	1.052E-7	2.051E-4	7.323E-6	5.971E-5	10	451	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,ACTB,CD74,LGALS1,LGALS3
GO: Biological Process	GO:0045785	positive regulation of cell adhesion	 	1.283E-7	2.502E-4	8.627E-6	7.034E-5	11	590	S100A10,HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,ACTB,CD74,ITGB1,LGALS1
GO: Biological Process	GO:0050863	regulation of T cell activation	 	1.512E-7	2.948E-4	9.827E-6	8.012E-5	10	469	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,ACTB,CD74,LGALS1,LGALS3
GO: Biological Process	GO:0030218	erythrocyte differentiation	 	1.565E-7	3.052E-4	9.846E-6	8.028E-5	8	253	RPL35A,RPS6,B2M,RPS14,RPS27,RPS29,HBA2,HBB
GO: Biological Process	GO:0002285	lymphocyte activation involved in immune response	 	2.167E-7	4.225E-4	1.320E-5	1.076E-4	8	264	HLA-A,HLA-B,HLA-C,RPS6,HLA-DRB1,CD74,LGALS1,LGALS3
GO: Biological Process	GO:0034101	erythrocyte homeostasis	 	2.295E-7	4.475E-4	1.356E-5	1.106E-4	8	266	RPL35A,RPS6,B2M,RPS14,RPS27,RPS29,HBA2,HBB
GO: Biological Process	GO:0030185	nitric oxide transport	 	2.658E-7	5.183E-4	1.525E-5	1.243E-4	3	6	HBA1,HBA2,HBB
GO: Biological Process	GO:0019885	antigen processing and presentation of endogenous peptide antigen via MHC class I	 	3.118E-7	6.081E-4	1.737E-5	1.416E-4	4	24	HLA-A,HLA-B,HLA-C,B2M
GO: Biological Process	GO:0007155	cell adhesion	 	3.219E-7	6.277E-4	1.744E-5	1.422E-4	17	1735	S100A10,IL32,HLA-A,HLA-B,HLA-C,CLIC1,HLA-DPB1,ANXA2,HLA-DRB1,B2M,ACTB,ACTG1,CD74,HBB,ITGB1,LGALS1,LGALS3
GO: Biological Process	GO:0019730	antimicrobial humoral response	 	3.327E-7	6.488E-4	1.754E-5	1.430E-4	7	188	RPL39,HLA-A,HLA-B,HLA-C,GAPDH,B2M,LGALS3
GO: Biological Process	GO:0016064	immunoglobulin mediated immune response	 	3.449E-7	6.725E-4	1.770E-5	1.443E-4	7	189	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,CD74
GO: Biological Process	GO:0030155	regulation of cell adhesion	 	3.601E-7	7.023E-4	1.788E-5	1.458E-4	13	972	S100A10,HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,ACTB,ACTG1,CD74,ITGB1,LGALS1,LGALS3
GO: Biological Process	GO:0002475	antigen processing and presentation via MHC class Ib	 	3.706E-7	7.226E-4	1.788E-5	1.458E-4	4	25	HLA-A,HLA-B,HLA-C,B2M
GO: Biological Process	GO:0022409	positive regulation of cell-cell adhesion	 	3.760E-7	7.331E-4	1.788E-5	1.458E-4	9	393	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,ACTB,CD74,LGALS1
GO: Biological Process	GO:0001815	positive regulation of antibody-dependent cellular cytotoxicity	 	4.644E-7	9.055E-4	2.156E-5	1.758E-4	3	7	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0019724	B cell mediated immunity	 	5.054E-7	9.855E-4	2.292E-5	1.869E-4	7	200	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,CD74
GO: Biological Process	GO:0051251	positive regulation of lymphocyte activation	 	5.468E-7	1.066E-3	2.423E-5	1.976E-4	9	411	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,ACTB,CD74,LGALS1
GO: Biological Process	GO:0030099	myeloid cell differentiation	 	6.276E-7	1.224E-3	2.720E-5	2.217E-4	11	692	RPL35A,ANXA2,RPS6,HLA-DRB1,B2M,RPS14,CD74,RPS27,RPS29,HBA2,HBB
GO: Biological Process	GO:0001775	cell activation	 	7.012E-7	1.367E-3	2.729E-5	2.225E-4	15	1410	HLA-A,HLA-B,HLA-C,CLIC1,HLA-DPB1,RPS6,HLA-DRB1,B2M,ACTB,ACTG1,CD74,HBB,ITGB1,LGALS1,LGALS3
GO: Biological Process	GO:0001914	regulation of T cell mediated cytotoxicity	 	7.287E-7	1.421E-3	2.729E-5	2.225E-4	5	70	HLA-A,HLA-B,HLA-C,HLA-DRB1,B2M
GO: Biological Process	GO:0001813	regulation of antibody-dependent cellular cytotoxicity	 	7.417E-7	1.446E-3	2.729E-5	2.225E-4	3	8	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002728	negative regulation of natural killer cell cytokine production	 	7.417E-7	1.446E-3	2.729E-5	2.225E-4	3	8	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002488	antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway	 	7.417E-7	1.446E-3	2.729E-5	2.225E-4	3	8	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002489	antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent	 	7.417E-7	1.446E-3	2.729E-5	2.225E-4	3	8	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002485	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent	 	7.417E-7	1.446E-3	2.729E-5	2.225E-4	3	8	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0032759	positive regulation of TRAIL production	 	7.417E-7	1.446E-3	2.729E-5	2.225E-4	3	8	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0042110	T cell activation	 	8.897E-7	1.735E-3	3.213E-5	2.619E-4	11	717	HLA-A,HLA-B,HLA-C,HLA-DPB1,RPS6,HLA-DRB1,B2M,ACTB,CD74,LGALS1,LGALS3
GO: Biological Process	GO:0008284	positive regulation of cell population proliferation	 	9.604E-7	1.873E-3	3.405E-5	2.776E-4	14	1247	S100A6,RTKN2,HLA-A,HLA-B,HLA-C,HLA-DPB1,RPS3A,ANXA2,RPS4X,RPS6,ACTB,CD74,ITGB1,LGALS3
GO: Biological Process	GO:0042255	ribosome assembly	 	1.030E-6	2.008E-3	3.559E-5	2.902E-4	5	75	RPS5,RPS6,RPS14,RPS25,RPS27
GO: Biological Process	GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	 	1.040E-6	2.029E-3	3.559E-5	2.902E-4	4	32	HLA-DPB1,HLA-DRB1,B2M,CD74
GO: Biological Process	GO:0032639	TRAIL production	 	1.111E-6	2.166E-3	3.636E-5	2.964E-4	3	9	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0032679	regulation of TRAIL production	 	1.111E-6	2.166E-3	3.636E-5	2.964E-4	3	9	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002262	myeloid cell homeostasis	 	1.144E-6	2.231E-3	3.636E-5	2.964E-4	8	329	RPL35A,RPS6,B2M,RPS14,RPS27,RPS29,HBA2,HBB
GO: Biological Process	GO:0006959	humoral immune response	 	1.170E-6	2.282E-3	3.636E-5	2.964E-4	8	330	RPL39,HLA-A,HLA-B,HLA-C,GAPDH,HLA-DRB1,B2M,LGALS3
GO: Biological Process	GO:0002711	positive regulation of T cell mediated immunity	 	1.175E-6	2.290E-3	3.636E-5	2.964E-4	5	77	HLA-A,HLA-B,HLA-C,HLA-DRB1,B2M
GO: Biological Process	GO:0048524	positive regulation of viral process	 	1.175E-6	2.290E-3	3.636E-5	2.964E-4	5	77	ANXA2,HLA-DRB1,CD74,PFN1,LGALS1
GO: Biological Process	GO:1903902	positive regulation of viral life cycle	 	1.337E-6	2.607E-3	4.073E-5	3.321E-4	4	34	ANXA2,HLA-DRB1,CD74,LGALS1
GO: Biological Process	GO:0043322	negative regulation of natural killer cell degranulation	 	1.584E-6	3.089E-3	4.752E-5	3.874E-4	3	10	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0022407	regulation of cell-cell adhesion	 	1.616E-6	3.151E-3	4.774E-5	3.892E-4	10	608	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,ACTB,CD74,LGALS1,LGALS3
GO: Biological Process	GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	 	1.692E-6	3.299E-3	4.896E-5	3.992E-4	4	36	HLA-DPB1,HLA-DRB1,B2M,CD74
GO: Biological Process	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	 	1.707E-6	3.329E-3	4.896E-5	3.992E-4	5	83	HLA-A,HLA-B,HLA-C,HLA-DRB1,B2M
GO: Biological Process	GO:0002696	positive regulation of leukocyte activation	 	1.877E-6	3.660E-3	5.304E-5	4.324E-4	9	477	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,ACTB,CD74,LGALS1
GO: Biological Process	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	 	2.113E-6	4.120E-3	5.730E-5	4.671E-4	4	38	HLA-DPB1,HLA-DRB1,B2M,CD74
GO: Biological Process	GO:0001913	T cell mediated cytotoxicity	 	2.157E-6	4.206E-3	5.730E-5	4.671E-4	5	87	HLA-A,HLA-B,HLA-C,HLA-DRB1,B2M
GO: Biological Process	GO:2000566	positive regulation of CD8-positive, alpha-beta T cell proliferation	 	2.174E-6	4.240E-3	5.730E-5	4.671E-4	3	11	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0043323	positive regulation of natural killer cell degranulation	 	2.174E-6	4.240E-3	5.730E-5	4.671E-4	3	11	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002519	natural killer cell tolerance induction	 	2.174E-6	4.240E-3	5.730E-5	4.671E-4	3	11	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002821	positive regulation of adaptive immune response	 	2.277E-6	4.441E-3	5.921E-5	4.828E-4	6	159	HLA-A,HLA-B,HLA-C,HLA-DRB1,B2M,CD74
GO: Biological Process	GO:0051249	regulation of lymphocyte activation	 	2.351E-6	4.585E-3	6.033E-5	4.919E-4	10	634	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,ACTB,CD74,LGALS1,LGALS3
GO: Biological Process	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	 	2.606E-6	5.083E-3	6.576E-5	5.362E-4	4	40	HLA-A,HLA-B,HLA-C,B2M
GO: Biological Process	GO:0061515	myeloid cell development	 	2.631E-6	5.130E-3	6.576E-5	5.362E-4	6	163	ANXA2,RPS6,RPS14,RPS29,HBA2,HBB
GO: Biological Process	GO:0048821	erythrocyte development	 	2.695E-6	5.256E-3	6.653E-5	5.424E-4	5	91	RPS6,RPS14,RPS29,HBA2,HBB
GO: Biological Process	GO:0050867	positive regulation of cell activation	 	2.760E-6	5.382E-3	6.728E-5	5.485E-4	9	500	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,ACTB,CD74,LGALS1
GO: Biological Process	GO:0002366	leukocyte activation involved in immune response	 	3.150E-6	6.143E-3	7.584E-5	6.183E-4	8	377	HLA-A,HLA-B,HLA-C,RPS6,HLA-DRB1,CD74,LGALS1,LGALS3
GO: Biological Process	GO:0002263	cell activation involved in immune response	 	3.406E-6	6.641E-3	8.099E-5	6.603E-4	8	381	HLA-A,HLA-B,HLA-C,RPS6,HLA-DRB1,CD74,LGALS1,LGALS3
GO: Biological Process	GO:0019731	antibacterial humoral response	 	3.511E-6	6.846E-3	8.149E-5	6.644E-4	5	96	RPL39,HLA-A,HLA-B,HLA-C,B2M
GO: Biological Process	GO:0031343	positive regulation of cell killing	 	3.511E-6	6.846E-3	8.149E-5	6.644E-4	5	96	HLA-A,HLA-B,HLA-C,HLA-DRB1,B2M
GO: Biological Process	GO:0046649	lymphocyte activation	 	3.614E-6	7.047E-3	8.291E-5	6.760E-4	12	1005	HLA-A,HLA-B,HLA-C,HLA-DPB1,RPS6,HLA-DRB1,B2M,ACTB,CD74,ITGB1,LGALS1,LGALS3
GO: Biological Process	GO:0042270	protection from natural killer cell mediated cytotoxicity	 	3.756E-6	7.324E-3	8.516E-5	6.943E-4	3	13	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002724	regulation of T cell cytokine production	 	4.605E-6	8.979E-3	1.032E-4	8.415E-4	4	46	HLA-A,HLA-B,HLA-C,B2M
GO: Biological Process	GO:0043321	regulation of natural killer cell degranulation	 	4.772E-6	9.306E-3	1.057E-4	8.622E-4	3	14	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002720	positive regulation of cytokine production involved in immune response	 	5.456E-6	1.064E-2	1.185E-4	9.664E-4	5	105	HLA-A,HLA-B,HLA-C,B2M,CD74
GO: Biological Process	GO:0032673	regulation of interleukin-4 production	 	5.471E-6	1.067E-2	1.185E-4	9.664E-4	4	48	HLA-A,HLA-B,HLA-C,HLA-DRB1
GO: Biological Process	GO:0015671	oxygen transport	 	5.955E-6	1.161E-2	1.255E-4	1.023E-3	3	15	HBA1,HBA2,HBB
GO: Biological Process	GO:0002729	positive regulation of natural killer cell cytokine production	 	5.955E-6	1.161E-2	1.255E-4	1.023E-3	3	15	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0048872	homeostasis of number of cells	 	5.984E-6	1.167E-2	1.255E-4	1.023E-3	9	550	RPL35A,RPS6,B2M,RPS14,CD74,RPS27,RPS29,HBA2,HBB
GO: Biological Process	GO:0046651	lymphocyte proliferation	 	6.845E-6	1.335E-2	1.413E-4	1.152E-3	8	419	HLA-A,HLA-B,HLA-C,HLA-DPB1,RPS6,HLA-DRB1,CD74,LGALS3
GO: Biological Process	GO:0001798	positive regulation of type IIa hypersensitivity	 	7.317E-6	1.427E-2	1.413E-4	1.152E-3	3	16	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002370	natural killer cell cytokine production	 	7.317E-6	1.427E-2	1.413E-4	1.152E-3	3	16	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002399	MHC class II protein complex assembly	 	7.317E-6	1.427E-2	1.413E-4	1.152E-3	3	16	HLA-DPB1,HLA-DRB1,B2M
GO: Biological Process	GO:0002727	regulation of natural killer cell cytokine production	 	7.317E-6	1.427E-2	1.413E-4	1.152E-3	3	16	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002486	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	 	7.317E-6	1.427E-2	1.413E-4	1.152E-3	3	16	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002894	positive regulation of type II hypersensitivity	 	7.317E-6	1.427E-2	1.413E-4	1.152E-3	3	16	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002503	peptide antigen assembly with MHC class II protein complex	 	7.317E-6	1.427E-2	1.413E-4	1.152E-3	3	16	HLA-DPB1,HLA-DRB1,B2M
GO: Biological Process	GO:0051129	negative regulation of cellular component organization	 	7.469E-6	1.456E-2	1.428E-4	1.164E-3	11	894	HLA-A,HLA-B,HLA-C,ANXA2,RPS6,B2M,TMSB4X,PFN1,ITGB1,LGALS1,LGALS3
GO: Biological Process	GO:0032943	mononuclear cell proliferation	 	7.724E-6	1.506E-2	1.462E-4	1.192E-3	8	426	HLA-A,HLA-B,HLA-C,HLA-DPB1,RPS6,HLA-DRB1,CD74,LGALS3
GO: Biological Process	GO:0060627	regulation of vesicle-mediated transport	 	7.797E-6	1.521E-2	1.462E-4	1.192E-3	10	726	S100A10,HLA-A,HLA-B,HLA-C,ANXA2,B2M,ACTB,ACTG1,ITGB1,LGALS3
GO: Biological Process	GO:0042098	T cell proliferation	 	7.952E-6	1.551E-2	1.477E-4	1.204E-3	7	303	HLA-A,HLA-B,HLA-C,HLA-DPB1,RPS6,HLA-DRB1,LGALS3
GO: Biological Process	GO:0001796	regulation of type IIa hypersensitivity	 	8.869E-6	1.730E-2	1.558E-4	1.270E-3	3	17	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:2000564	regulation of CD8-positive, alpha-beta T cell proliferation	 	8.869E-6	1.730E-2	1.558E-4	1.270E-3	3	17	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002484	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	 	8.869E-6	1.730E-2	1.558E-4	1.270E-3	3	17	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002476	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	 	8.869E-6	1.730E-2	1.558E-4	1.270E-3	3	17	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002892	regulation of type II hypersensitivity	 	8.869E-6	1.730E-2	1.558E-4	1.270E-3	3	17	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I	 	8.869E-6	1.730E-2	1.558E-4	1.270E-3	3	17	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0032633	interleukin-4 production	 	9.471E-6	1.847E-2	1.649E-4	1.344E-3	4	55	HLA-A,HLA-B,HLA-C,HLA-DRB1
GO: Biological Process	GO:0045921	positive regulation of exocytosis	 	9.655E-6	1.883E-2	1.666E-4	1.358E-3	5	118	S100A10,HLA-A,HLA-B,HLA-C,ANXA2
GO: Biological Process	GO:0001788	antibody-dependent cellular cytotoxicity	 	1.063E-5	2.072E-2	1.802E-4	1.469E-3	3	18	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0035740	CD8-positive, alpha-beta T cell proliferation	 	1.063E-5	2.072E-2	1.802E-4	1.469E-3	3	18	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002694	regulation of leukocyte activation	 	1.085E-5	2.116E-2	1.822E-4	1.485E-3	10	754	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,B2M,ACTB,CD74,LGALS1,LGALS3
GO: Biological Process	GO:0002369	T cell cytokine production	 	1.093E-5	2.131E-2	1.822E-4	1.485E-3	4	57	HLA-A,HLA-B,HLA-C,B2M
GO: Biological Process	GO:0050670	regulation of lymphocyte proliferation	 	1.204E-5	2.349E-2	1.990E-4	1.623E-3	7	323	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,CD74,LGALS3
GO: Biological Process	GO:0002709	regulation of T cell mediated immunity	 	1.229E-5	2.397E-2	2.014E-4	1.642E-3	5	124	HLA-A,HLA-B,HLA-C,HLA-DRB1,B2M
GO: Biological Process	GO:0002725	negative regulation of T cell cytokine production	 	1.260E-5	2.456E-2	2.047E-4	1.669E-3	3	19	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0032944	regulation of mononuclear cell proliferation	 	1.304E-5	2.543E-2	2.102E-4	1.714E-3	7	327	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,CD74,LGALS3
GO: Biological Process	GO:0001906	cell killing	 	1.330E-5	2.594E-2	2.126E-4	1.733E-3	7	328	HLA-A,HLA-B,HLA-C,GAPDH,HLA-DRB1,B2M,LGALS3
GO: Biological Process	GO:0001794	type IIa hypersensitivity	 	1.479E-5	2.885E-2	2.271E-4	1.852E-3	3	20	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:0002396	MHC protein complex assembly	 	1.479E-5	2.885E-2	2.271E-4	1.852E-3	3	20	HLA-DPB1,HLA-DRB1,B2M
GO: Biological Process	GO:0002445	type II hypersensitivity	 	1.479E-5	2.885E-2	2.271E-4	1.852E-3	3	20	HLA-A,HLA-B,HLA-C
GO: Biological Process	GO:2001198	regulation of dendritic cell differentiation	 	1.479E-5	2.885E-2	2.271E-4	1.852E-3	3	20	HLA-B,LGALS1,LGALS3
GO: Biological Process	GO:0002501	peptide antigen assembly with MHC protein complex	 	1.479E-5	2.885E-2	2.271E-4	1.852E-3	3	20	HLA-DPB1,HLA-DRB1,B2M
GO: Biological Process	GO:0070661	leukocyte proliferation	 	1.504E-5	2.932E-2	2.291E-4	1.868E-3	8	467	HLA-A,HLA-B,HLA-C,HLA-DPB1,RPS6,HLA-DRB1,CD74,LGALS3
GO: Biological Process	GO:0001910	regulation of leukocyte mediated cytotoxicity	 	1.546E-5	3.014E-2	2.336E-4	1.905E-3	5	130	HLA-A,HLA-B,HLA-C,HLA-DRB1,B2M
